Country,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: energy depletion (current US$),Adjusted savings: mineral depletion (current US$),Agricultural land (% of land area),Agricultural land (sq. km),Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),"Birth rate, crude (per 1,000 people)",Capture fisheries production (metric tons),Crop production index (2004-2006 = 100),DEC alternative conversion factor (LCU per US$),"Death rate, crude (per 1,000 people)",Export unit value index (2000 = 100),Export value index (2000 = 100),Export volume index (2000 = 100),"Fertility rate, total (births per woman)",Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),Food production index (2004-2006 = 100),"Foreign direct investment, net inflows (BoP, current US$)",Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),GDP (constant 2010 US$),GDP (constant LCU),GDP (current LCU),GDP (current US$),GDP deflator (base year varies by country),GDP deflator: linked series (base year varies by country),GDP growth (annual %),GDP per capita (constant 2010 US$),GDP per capita (constant LCU),GDP per capita (current LCU),GDP per capita (current US$),GDP per capita growth (annual %),GDP: linked series (current LCU),Import unit value index (2000 = 100),Import value index (2000 = 100),Import volume index (2000 = 100),"Incidence of tuberculosis (per 100,000 people)",Individuals using the Internet (% of population),"Inflation, GDP deflator (annual %)","Inflation, GDP deflator: linked series (annual %)",International migrant stock (% of population),"International migrant stock, total",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Livestock production index (2004-2006 = 100),Lower secondary school starting age (years),Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Mineral rents (% of GDP),Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Net barter terms of trade index (2000 = 100),People practicing open defecation (% of population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Population density (people per sq. km of land area),Population growth (annual %),"Population, total","Preprimary education, duration (years)","Primary education, duration (years)",Primary school starting age (years),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Rural population,Rural population (% of total population),Rural population growth (annual %),"Secondary education, duration (years)",Secure Internet servers,Secure Internet servers (per 1 million people),Surface area (sq. km),Total fisheries production (metric tons),Total natural resources rents (% of GDP),"Tuberculosis case detection rate (%, all forms)",Urban population,Urban population (% of total population),Urban population growth (annual %),Happiness Score
Bangladesh,73.17420197,62.36091161,93.7620163,2395176366,1285072840,0,70.38672685,91622.40234,59.40109268,0.04948435,7732240.234,19.156,1623837,142.79,77.7021,5.549,116.4647945,506.7872907,435.1420469,2.12,4892940,3.131355825,864263,0.553106104,141.72,2831152765,10.97795191,14290,0.204707193,156630000000,8248620000000,15158000000000,195079000000,183.7642618,183.7642618,6.552652796,1002.388853,52789.07325,97007.45076,1248.453398,5.368783423,15158000000000,171.5277901,473.3457165,275.9586166,221,14.4,5.872764205,5.872764205,0.883753735,1422805,130170,73.316,69.978,71.514,135.27,11,32379000000,29924639202,17.64845564,2.031051302,72.19983922,3.17593505,2.897699732,1.028739544,2.222488694,0.459140186,7.929216446,42047000000,39412978335,8.402285044,6.639578156,35.8833722,31.32941723,3.904537302,2.62648756,15.60494082,1.364365224,40.10940194,0,131375724,84.07708629,67.8984988,1.253160892,96.82151436,45.74216109,1200.401598,1.117283565,156256276,3,5,6,1.226889902,34.74706901,102647873,65.692,-0.052550357,7,314,2.009519285,147630,3684245,0.96403682,60,53608403,34.308,3.396172612,4.694
Belarus,100,100,100,1772007655,185832331.9,0,42.24201571,85742.00195,27.97051741,0.598274988,5677399.902,12.5,869,102.45,1.5926,12.6,175.4943631,363.8949552,207.3542128,1.724,2903497,30.75926357,4540676,48.10332157,133.03,1652300000,42.53416463,86335,0.687568995,62116943621,77493430000,89909810000,56454734397,116.0224938,116.0224938,-3.829570558,6545.780527,8166.129167,9474.546705,5949.106307,-3.982648864,89909810000,177.6083435,350.3446601,197.2568705,50,62.23036091,16.02249378,16.02249378,11.40401056,1082905,202978.0078,78.9,68.6,73.62439024,147.04,10,26660000000,26618982100,1.055086175,0.794751276,33.50882715,4.912711519,54.67528227,2.421538501,1.941907839,0.594038868,10.76080441,30292000000,30264298700,0.417811433,1.705285178,23.78265484,8.478499123,63.6628104,1.053694332,0.555281329,0.622557958,12.13672333,0,11448281,121.2815762,98.80975168,0,96.46444341,97.76497652,46.75194176,0.159300802,9489616,3,4,6,0.815679831,6.770869532,2165435,22.819,-1.956730749,7,1021,107.5912872,207600,9999.9,1.130823251,80,7324181,77.181,0.793590772,5.813
Belgium,100,100,100,2798897858,0,0,43.85733157,13280,27.39431968,0.073575091,829500,10.8,24721,99.96,0.901658962,9.8,151.153822,211.1912073,139.7193961,1.7,4121049,36.50842403,4488711,39.76554624,88.31,-24266120893,22.56935351,6834.000244,0.019639356,513014000000,416701000000,416701000000,462150000000,100,100,2.032788973,45503.35199,36960.63116,36960.63116,40991.80814,1.443273424,416701000000,131.6654826,212.076614,161.0722946,9.5,85.0529,1.33899648,1.33899648,12.28353319,1387940,30280,83.4,78.7,80.99268293,82.02,12,396841000000,396841000000,0.913421079,3.128744801,85.41977296,2.725065025,3.152212945,1.441772328,2.372057837,2.54791058,13.66680596,375530000000,375530000000,0.062574455,2.295151632,82.31863652,6.121513525,4.3693433,2.441368129,1.72335385,2.334118267,17.61878902,0,12774090,113.1658212,114.8014036,0,100.0000005,99.48606169,372.3314399,0.579446242,11274196,3,6,6,20.80002301,9.201640531,239464,2.124,-1.424674361,6,22982,2038.460215,30530,24803,0.019639356,87,11034732,97.876,0.623385919,6.937
Benin,40.16017151,15.68188416,69.25074005,203058344.3,4450528.094,0,33.25647393,37500,23.94466123,0.255296166,2700000,37.432,36477,150.96,591.2117,9.332,201.8739573,429.0510079,212.5341048,5.047,73263,0.692731964,194666,1.840647537,154.51,149695382.1,38.23164243,43110,5.697094318,8763689212,3938550000000,4903800000000,8294490789,124.5077503,124.5077503,2.095808383,828.6430585,372406.191,463674.5704,784.2784072,-0.695138395,4903800000000,169.163839,417.7528697,246.9516371,60,11.25498791,0.075747138,0.075747138,2.255540965,245399,112760,62.082,59.1,60.608,135.42,12,1682000000,625457940,0,3.735550627,19.64720298,26.55053304,1.483737659,0.564621659,23.21037622,25.30973482,55.04306221,2561000000,2475081575,0.37254558,4.322469412,43.19292765,21.8907778,1.638494804,2.921783618,10.26369658,17.76645172,38.66807505,0,9317955,88.1051181,119.3363537,54.9356193,66.06565133,16.01174081,93.79169918,2.771714168,10575952,2,6,6,5.555555556,50.86261794,5743271,54.305,1.802304205,7,24,2.269299256,114760,37747,5.776273643,63,4832681,45.695,3.936139031,3.34
Bhutan,95.64605713,93.09317853,99.69351959,33842832.52,0,317047.622,13.7891225,5255.999756,2.628748281,0.137660806,100199.9969,17.783,7,104.43,64.1519,6.257,190.0978641,533.1592233,280.4656569,2.037,27874,3.829498431,21811,2.996526881,98.77,6450953.85,72.27562418,27549.29932,3.76942203,2070314376,59325230000,132141000000,2059809920,222.7394989,222.7394989,6.644564258,2844.322902,81504.5832,181542.9002,2829.891245,5.352304235,132141000000,165.3266936,605.3453196,366.1509867,165,39.8,2.69870496,2.69870496,6.595769395,51106,38116.99951,70.668,70.164,70.419,91.07,13,549000000,603057674,0.00392135,0.004921254,5.204094128,0.179573372,0.029371154,0.002477872,94.54202219,0.033787813,0.249962328,1061000000,1745875960,0.707028809,0.378709608,10.71004059,2.245380479,0.153323894,0.002981942,86.06164495,0.112067297,2.521285647,0.086617961,675747,92.83820321,114.9831645,0.497512439,96.81250418,67.28510633,19.09583675,1.219146338,727876,2,7,6,99.99354643,86.90454832,446348,61.322,-0.012545477,6,14,19.23404536,38393.99902,156,3.856039991,80,281528,38.678,3.203565302,5.253
Bolivia,91.522822,74.33850177,99.46435,651828371.2,911228356.6,547250292.2,34.76506969,376610,4.08843349,0.407461823,4429000,22.821,7000,155.44,6.91,6.89,246.9263616,709.7129052,287.4188485,2.886,180951,1.664723963,881235,8.107239094,147.55,554643532.3,50.55294009,547640,0.458166299,25664047553,42559598000,228031000000,33000198263,535.7930542,535.7930542,4.857188015,2361.056581,3915.423658,20978.568,3035.972215,3.282718711,228031000000,226.2008164,524.7968627,232.004849,117,35.56227065,-4.620603311,-4.620603311,1.333267442,142989,1083300,73.105,67.6,70.277,136.05,12,8726000000,8737107656,0.012318424,0.702222571,51.15009975,5.948852715,0.07891536,40.46880813,2.262478864,0.067709707,8.368773704,9602000000,9843070745,0.038112537,0.194341456,48.57067987,20.36632252,0.500430153,28.74265615,1.360718016,0.266101816,22.64855144,2.10748988,10162829,93.49660939,109.1624537,15.47390706,91.4968327,56.90997987,10.03390566,1.512924033,10869730,2,6,6,31.40243902,17.53818183,3435596,31.607,0.424202021,6,290,26.67959554,1098580,9987.5,6.022094404,61,7434134,68.393,2.020096686,5.89
Bosnia and Herzegovina,100,100,100,708832401.6,4392574.542,13118900.07,42.5,21760,19.9609375,0.298014703,1022000,8.655,305,98.96,1.7635,10.305,160.6658789,476.7207275,296.7156006,1.296,634987,18.51619004,772684,22.53142787,110.54,383089615.7,42.67578125,21850,0.546775378,18368686543,28589052000,28589052000,16211540686,100,100,3.088222848,5356.300064,8336.553661,8336.553661,4727.277381,4.673702515,28589052000,155.579925,282.603332,181.6451138,40,52.6,1.366648082,1.366648082,0.91336484,34803,51200,79.292,74.376,76.865,121.42,11,5096000000,4985143012,1.841988982,1.584016443,74.28088356,0.379076888,22.10984951,0.084219189,0.035834619,0.119701862,1.767277945,8989000000,9018592892,0.435929446,0.444993764,63.97317146,7.933525435,24.4158743,1.824037474,0.986764965,0.150048086,11.1750248,0.290473795,3443520,100.4128758,103.2690296,0,96.15984409,95.312937,66.97970703,-1.526276235,3429361,3,5,6,35.51730757,40.75006023,1811629,52.827,-2.154605336,8,282,82.23106287,51210,4755.6,1.039905623,80,1617732,47.173,-0.817919142,4.949
Botswana,58.35322952,23.62814438,75.33701324,207583837.8,26165264.23,64061159.8,45.6330168,258615.9961,0.458066462,0.12241149,259600.0061,26.44,81,124.19,10.129,6.259,138.9135855,236.3633068,170.1513254,2.968,36845,1.737384921,160490,7.567727126,115.96,378553780.9,19.12727401,108400,0.435731378,16146492037,86082600000,146066000000,14420604206,169.6815617,169.6815617,-1.697965616,7613.69841,40591.29087,68875.93624,6799.875234,-3.185996973,146066000000,154.4834932,348.3231831,225.4759883,356,37.31205037,1.865336494,1.865336494,7.100334367,160644,566730,70.013,64.458,67.338,114.7,13,6323000000,6329857510,0.168552909,5.34576223,56.1174915,2.063398738,0.06060781,0.001081541,12.38881946,29.19407445,14.51988114,7249000000,7698246151,7.013317727,0.441614497,16.06005483,1.440179839,0.431305577,0.073674028,0.851489465,74.1285195,2.798107943,0.701626656,3475327,163.8751723,89.92131301,12.08874082,88.44628464,74.76206577,3.742021774,1.525307942,2120716,3,7,6,0.033704078,28.87982699,696549,32.845,-0.842611662,5,75,35.36541432,581730,101,1.40913989,66,1424167,67.155,2.704181161,4.332
Brazil,99.710902,98.23240923,99.956197,15716623908,15687127336,11205732284,33.98878219,2840830,9.752528673,0.39865161,81513000,14.472,700000,148.49,3.3269,6.25,165.5830228,346.7673062,209.4220171,1.753,25482478,12.46258988,43677141,21.36096402,140.58,60334050668,59.04878358,4935380,0.625003342,2337350000000,4111860000000,5995790000000,1802210000000,145.8169172,145.8169172,-3.545871574,11431.14446,20109.66934,29323.29988,8814.000987,-4.351591267,5995790000000,155.6058284,304.9493039,195.9755023,43,58.32795173,7.566277044,7.566277044,0.3433132,713568,8358140,78.698,71.345,74.994,127.94,11,191134000000,191134000000,1.594593793,6.342338667,55.00679104,23.16712966,2.425764932,9.317584316,2.72032577,2.188039357,34.08103086,178832000000,181744000000,0.462068512,4.161336784,60.81090993,21.81785561,2.263669961,6.538153521,2.697477899,3.525202698,32.18886804,1.404857049,257814274,126.0879559,106.4118384,1.908625222,97.60591521,86.55409175,24.46378847,0.838848283,204471769,2,5,6,73.96690805,43.7903892,29096333,14.23,-1.095932826,7,32503,158.9608197,8515770,1275230,3.161999021,87,175375436,85.77,1.163497385,6.983
Bulgaria,100,100,100,1276749090,26452497.77,324241800.1,46.16709564,50118.99902,32.32958688,0.488952961,3509699.951,9.2,8829,123.43,1.7644,15.3,180.4049108,522.9258352,289.8623063,1.53,1614541,22.42498723,1654879,22.98525739,125.6,2609370000,35.21554901,38230,0.25023047,54635643698,80718700000,88575200000,50201314895,109.7331845,109.7331845,3.471186041,7611.550878,11245.30527,12339.83158,6993.783483,4.133514899,88575200000,134.8380011,446.3225405,331.0064943,28,56.6563,2.206092813,2.206092813,1.428196392,102113,108560,78.2,71.2,74.61463415,84.39,11,25371000000,25370886109,2.871454268,5.207242295,63.42122098,3.085889837,24.76553116,0.328838901,0.434375337,0.91042394,8.941793583,29206000000,29205627494,0.919248511,1.766665931,61.52245642,4.399515947,30.0239309,0.391478546,0.606058014,0.657865283,7.534364161,1.085139844,9194633,127.70783,133.7938188,0,99.18851806,85.98294162,66.120035,-0.638069468,7177991,4,4,7,17.988593,17.65007793,1866995,26.01,-1.932996217,8,4880,679.8559653,111000,22365.55,1.4813581,80,5310996,73.99,-0.178845947,4.218
Burkina Faso,21.78934479,7.185988796,60.23123169,93908594.02,0,764275049.1,44.2251462,121000,21.92982456,0.331297254,6000000,39.437,20750,138.12,591.4495,8.823,191.5146833,1041.316239,543.7265809,5.436,9354,0.051649242,75075,0.414535689,122.18,231808460.8,19.55409357,53500,10.42500772,11688050886,4376990000000,6162490000000,10419303761,140.7928513,140.7928513,3.894548057,645.3698606,241680.9115,340269.4463,575.3144542,0.885054448,6162490000000,146.7685059,504.1010615,343.4667801,52,14,-3.073429795,-3.073429795,3.892039853,704676,273600,60.525,59.183,59.919,84.66,12,2176000000,2176038636,0.003056931,0.705952585,69.15809789,3.967707217,0.497400681,0.009360496,10.30640101,15.97954403,14.85930115,3080000000,2984050001,0.459324006,3.582036962,49.30171178,15.84359916,3.28297954,2.149538847,3.513868064,22.29306147,27.94590274,9.643499027,14446897,79.77028842,130.4875879,49.42490415,48.66045692,18.82599308,66.19380117,2.939462977,18110624,3,6,6,9.354038684,74.16718786,13124769,72.47,2.12041685,7,27,1.490837643,274220,21030,20.06850674,60,4985855,27.53,5.128152432,3.587
Burundi,8.470917702,1.683738598,57.87829208,13453276.49,0,9717562.874,79.16666667,20330,46.72897196,0.118109887,1200000,40.883,20120,98.08,1571.8983,8.517,219.1292575,241.1283657,110.0393295,5.697,3639,0.035816823,21774,0.214310391,110.95,49622865.77,10.74766355,2760,15.29709506,2320881502,1722110000000,4879790000000,3104394858,283.3609636,283.3609636,-3.900003086,228.4325442,169498.7067,480293.1684,305.5497728,-6.886405717,4879790000000,150.2235714,488.4548182,325.1519143,122,4.866224464,21.33404254,21.33404254,2.565632229,286810,25680,61.893,58.325,60.123,136.6,13,121000000,122151745,4.793597504,15.88962565,47.57577716,0.918831737,1.574661909,0.003078139,0.121970423,45.01147405,2.619151286,722000000,560717917,0.02042025,12.64014112,40.64122442,16.91735811,1.839634634,0.121240998,12.38986251,26.87606235,32.46229298,0.409877163,4997696,49.18977601,145.8687578,2.646843005,59.5814674,45.87571014,395.6397975,3.156909217,10160030,2,6,7,82.70938513,95.67892425,8932902,87.922,2.814011476,7,8,0.78739925,27830,21446,15.70697222,56,1227128,12.078,5.689115878,2.905
Cambodia,69.03035736,60.71907113,98.17754364,223648187.7,0,0,30.90301382,54550,21.52730569,0.244822708,3800000,23.674,608193,199.92,4067.75,6.099,117.9140991,614.8047691,521.4005569,2.593,83504,0.537991459,256387,1.651825256,178.57,1822804151,53.57466576,94570,1.730775777,15903594934,43009300000000,73422700000000,18049954289,170.7136529,170.7136529,7.036087179,1024.621365,2770959.679,4730406.488,1162.90492,5.333233003,73422700000000,157.9724014,685.0422321,433.6467802,367,6.43319107,1.719270692,1.719270692,0.474794451,73963,176520,70.61,66.474,68.637,89.17,12,8542000000,8578653464,0.403321863,0.807296055,83.99911852,12.96457941,0.851534863,1.182169759,0.156194758,0.380030481,2.632980198,13261000000,11215140870,6.014278811,0.16903744,30.00421572,62.16534308,0.122365578,0.123048165,1.438138681,0.126074252,1.816162386,0,20850543,134.3338529,74.64221474,37.68591174,75.38110581,53.38575143,87.93018355,1.603706854,15521436,3,6,6,46.41801228,64.92377591,12077540,77.812,1.10503201,6,158,10.17947051,181040,751193,1.730775777,62,3443896,22.188,3.372448243,3.819
Cameroon,58.81427383,19.94792754,91.16040802,228959393,616166987.5,34980969.97,20.62575363,97500,13.11586385,0.26611306,6200000,36.964,224000,172.49,591.4495,10.046,243.7243768,221.3961204,90.83872665,4.777,20447,0.087761512,1050281,4.507959527,168.99,694057556.6,39.80453132,188160,4.072059875,33558475340,14422900000000,18285400000000,30916218544,126.780485,126.780485,5.651463744,1440.3788,619050.5704,784835.3155,1326.969277,2.855766469,18285400000000,171.0865336,407.4275425,238.1412108,212,20.68014766,0.1791471,0.1791471,1.636313704,381984,472710,58.908,56.27,57.583,125.23,12,4058000000,4040403549,0.000376002,0.778563617,52.10168451,17.26151823,0.683901686,0.104855046,17.4842461,12.01477749,35.883162,6045000000,6030058785,0.01816634,4.786127537,40.31185358,25.25758639,2.390852264,2.311167336,3.976904845,23.58057496,36.08940512,0.147473251,18160667,77.94823655,142.4567859,7.05584687,60.20856564,38.85571305,49.28681009,2.68179173,23298368,2,6,6,76.11719444,76.53840041,10582585,45.422,1.365154525,7,52,2.231915987,475440,225955,6.569553129,53,12715783,54.578,3.790923593,4.252
Canada,100,100,100,16072880473,479277748.9,6938514988,6.890210625,626561.9922,4.795331884,1.221368255,43606398.44,10.7,862692,135.92,1.278786204,7.4,128.9810662,148.2068103,114.9058654,1.563,13115376,36.40462417,15612271,43.33530798,113.96,59986208237,38.16667052,3470690,0.077188835,1795130000000,1985830000000,1985830000000,1552900000000,100,100,0.689906522,50279.58584,55620.87548,55620.87548,43495.05439,-0.058784637,1985830000000,122.4118787,175.434053,143.3145662,5.2,90,-0.902404707,-0.902404707,21.80166365,7835502,9093510,84,79.9,81.9,83.07,12,409965000000,408265000000,0.018903566,1.107308971,90.08320062,4.836101861,0.452496348,2.471210644,1.19096859,0.568850199,9.897895812,429424000000,444970000000,0.965923281,0.875888001,73.07165257,14.81923569,0.778405027,8.125531033,1.142411092,0.662263011,25.96242415,0.595697425,29765000,82.61933463,105.3664624,0,99.38903384,99.36312098,3.926196595,0.746339478,35702908,1,6,6,63.01145004,22.02535921,6691082,18.741,0.527807559,6,120922,3386.894983,9984670,1050066,0.778280498,87,29011826,81.259,0.796807975,7.427
Central African Republic,24.23072624,10.61330527,44.42272186,9975109.555,0,1166032.332,8.154354875,50800,2.889338342,0.400608034,1800000,36.454,28000,113.5,591.4495,13.621,140.9682397,53.24318758,37.76963356,4.941,1858,0.041351652,1881,0.04186354,118.44,3000000,35.58701724,221700,14.66636425,1556235973,651746000000,1002590000000,1695143880,153.8317074,153.8317074,4.33712103,346.3559074,145052.6021,223136.8944,377.2712538,3.663820259,1002590000000,180.515762,295.8107444,163.8697592,540,3.8,2.708263108,2.708263108,1.665172192,81598,622980,52.793,48.985,50.881,127.85,12,86000000,190111320,0.012460594,0.133636966,84.7415246,4.132042216,0.124455503,0.023568297,0.041558809,10.9179406,4.328074204,346000000,456637868,0.246739283,11.38411675,55.07456031,8.538883814,0.310278472,0.657869881,4.507766535,21.6144792,23.06422121,0.095958707,1242494,27.65294881,78.09192847,23.85130305,46.22808195,25.18311162,7.21238242,0.647403919,4493170,3,6,6,99.41520468,76.56702001,2683456,59.723,0.116372929,7,1,0.222560019,622980,28180,14.76232296,43,1809714,40.277,1.440047771,3.678
Chad,7.7,0.522863479,32.4,22998681.38,470171885.4,283770.1448,39.65613088,499350,3.891359593,0.347247444,4900000,43.73,100000,160.7,591.4495,12.77,193.3213657,1202.185792,621.8587316,6.049,11337,0.08034172,17029,0.120679117,145.39,559642022.5,3.871505718,48750,5.703878589,13486244396,5623440000000,6474000000000,10945989472,115.1252,115.1252,2.767675685,955.7273254,398515.5526,458791.8269,775.7075235,-0.490774024,6474000000000,153.3720247,1167.192429,761.0204217,144,3.5,-8.480017258,-8.480017258,3.682771371,516968,1259200,54.552,51.743,53.137,115.82,12,2200000000,2223794889,0,3.114305431,77.21368443,4.44024242,0.920492447,0.032486764,17.17325041,0.19126103,22.59505454,3700000000,896185893,0,2.685556779,51.26420273,15.27903118,2.497621105,0.19402883,6.274413762,22.3704299,26.36536737,0.003378932,5465797,38.73436811,126.0473454,67.56197426,39.00699264,8.840377126,11.20630162,3.222050147,14110975,3,6,6,0,89.35739557,10933889,77.485,3.037664626,7,5,0.354334126,1284000,100154,13.26551468,56,3177086,22.515,3.85922088,3.667
Chile,99.714844,100,99.876858,2540670206,14803439.19,14867503714,21.22975116,157850,1.765895677,0.073068852,1313000,13.369,2131953,112.22,654.1240843,5.917,202.1976013,322.9261923,159.7082211,1.75,2719439,15.13376135,3445880,19.17642778,111.84,21055618324,23.8523685,177350,0.578388354,264551000000,143545000000000,159553000000000,243919000000,111.1524604,111.1524604,2.303767036,14722.36633,7988300.654,8879192.718,13574.17183,1.105944345,159553000000000,107.0394415,337.1004233,314.9310371,16,76.63,4.953538064,4.953538064,2.615513217,469436,743532.0313,82.25,76.892,79.646,111,12,62035000000,62035090308,0.541458388,0.726419834,49.77330376,27.84116354,2.002297727,16.20587649,3.080818541,0.431693691,49.68523786,62388000000,62387849536,2.494618984,0.359749508,50.69737071,26.51004707,0.549460941,17.9743006,1.422798243,0.308669064,46.8080103,11.58064466,23206353,129.1440655,188.90009,0.149950152,99.6008876,99.63102854,24.16755734,1.177757471,17969353,3,6,6,43.60433496,24.88255427,2271326,12.64,0.727813258,6,4025,223.9924832,756096.0156,3189695,12.19524845,87,15698027,87.36,1.24302726,6.67
China,100,100,100,323966000000,61186827172,30550395758,56.22295728,5278330,12.67547106,0.086784032,119000000,12.07,17900000,141.21,6.2275,7.11,134.0443907,912.2955984,680.5921485,1.665,277046000,19.69267651,230996000,16.41940148,135.91,242489000000,22.18966865,2083212.969,0.10118375,8891590000000,68599300000000,68599300000000,11015500000000,100,100,6.90531667,6484.435948,50027.92404,50027.92404,8033.388043,6.3634693,68599300000000,144.8608508,746.3941624,515.2490534,65,50.3,0.062699386,0.062699386,0.071076396,978046,9388211.25,78.288,73.793,75.928,128.01,12,2273470000000,2280540000000,0.200080656,5.053368551,71.50364165,10.11165243,3.597500622,4.207141734,4.136268634,3.542905935,18.18462527,1679570000000,1601760000000,9.010621096,5.455271525,65.60557224,10.54488717,3.667779811,4.783416566,1.059496299,3.254453638,14.83891949,0.374332396,1291984200,91.835388,92.53320683,0.458571666,91.73491778,81.6754051,146.0576422,0.508136747,1371220000,3,6,6,23.92681717,12.41335257,610192900,44.5,-2.242449489,6,26989,19.68247254,9562911.25,78800000,1.355871546,88,761027100,55.5,2.769551135,5.14
Colombia,98.186898,91.79024765,99.809718,2612838929,8190082805,1254284951,40.25741466,446656.0156,1.521946801,0.035534013,1688599.976,15.515,81896,116.94,2741.8809,5.41,121.8583779,276.1381067,226.6057626,1.863,5525763,11.62812593,7109254,14.96034136,120.3,11723216758,52.72802008,585017.3828,0.167903098,359844000000,804692000000000,804692000000000,293482000000,100,100,2.955945907,7572.365505,16933516.53,16933516.53,6175.87603,1.761184057,804692000000000,110.2817059,468.4976383,424.8189982,31,55.90497251,2.449284108,2.449284108,0.276047227,133134,1109500,79.346,73.686,76.531,122.32,11,36018000000,35675657457,3.600056917,0.345636408,65.70856109,5.706060894,2.247901985,20.15494354,1.477582558,0.860113099,10.53643845,54058000000,54057599482,3.005664938,0.362638363,56.082176,20.86247132,1.358830305,16.0455445,2.409546712,0.104645137,24.86661456,0.58784525,57327470,120.636922,110.4973639,3.647223524,96.68084657,87.54582739,42.83070482,1.167245179,47520667,3,5,6,68.23681122,23.56475752,9616282,20.236,-0.542705897,6,3389,71.31633906,1141748.984,177753,4.13447316,80,37904385,79.764,1.605747272,6.477
Comoros,74.91381073,68.36818911,91.35944366,4675837.51,0,0,71.46695091,1330,34.92745721,0.083609459,65000,33.328,12674,107.97,443.5874,7.491,222.5894159,124.6173504,55.98529916,4.419,1600,0.205807899,14599,1.877868448,107.96,4934768.96,19.88178334,370,2.401702454,1051343991,368810000000,428346000000,965640593,116.1427293,116.1427293,1.116140583,1352.343112,474400.07,550981.1892,1242.102885,-1.229462948,428346000000,155.499186,494.3704306,317.9247708,35,7.459161386,-0.492155633,-0.492155633,1.592316297,12555,1861.000061,65.195,61.804,63.471,108.87,12,17000000,9481001,-1.23E-15,6.631736459,68.16732748,0.52730719,3.874021319,2.014892731,13.90127477,10.94945565,20.88321687,214000000,148443404,0.17084491,28.62545715,52.83121371,14.68802144,0.785200264,0.945515909,12.41614077,17.3689388,29.62900258,0,424786,54.64019634,143.1450683,0.591839414,80.13200287,35.81526768,417.7452845,2.347041066,777424,3,6,6,0,45.33305239,556091,71.53,2.162614899,7,1,1.286299368,1861.000061,12674,2.401702454,,221333,28.47,2.811911403,3.956
Costa Rica,99.409804,97.68201721,99.929925,235650396.4,0,1789690.134,34.8609479,17800,4.915785351,0.051776021,251000,14.762,14750,124.98,534.5658,4.862,116.9772045,161.0603893,137.6852781,1.806,558656,11.52389824,859514,17.72996598,126.09,2955521681,53.97571485,27560,1.073325187,44693794269,25640500000000,29281400000000,54775994479,114.199714,114.199714,3.631731442,9219.389701,5289095.061,6040131.43,11299.13554,2.51140319,29281400000000,117.0929524,254.7268319,217.5424112,11,59.76295014,3.776914738,3.776914738,8.771009911,421697,51060,82.184,77.029,79.565,124.8,12,9422000000,9568508435,0.014392943,0.230273529,71.73627423,1.054610054,0.61265671,26.25681306,0.151662687,0.097437621,1.992519767,16273000000,15626174963,3.065769596,0.149816472,62.44322341,14.47785957,0.801328139,18.09578174,1.006373066,0.069951194,16.39522526,0.004258487,7535599,155.4435575,99.90114876,0.263787217,99.52898279,97.27143763,94.94328241,1.086952795,4847804,2,6,6,99.00110988,38.73341388,1121685,23.138,-2.816295235,5,1517,312.9251925,51100,37252.5,1.077583675,80,3726119,76.862,2.292429256,7.226
